iter	Passed	Remaining
0	147	73633
1	329	82157
2	514	85161
3	668	82863
4	825	81705
5	960	79068
6	1132	79759
7	1331	81917
8	1504	82058
9	1648	80759
10	1794	79773
11	1998	81262
12	2154	80699
13	2347	81491
14	2514	81309
15	2632	79622
16	2811	79879
17	2999	80327
18	3140	79507
19	3309	79433
20	3451	78721
21	3591	78026
22	3755	77892
23	3928	77920
24	4100	77907
25	4246	77418
26	4440	77797
27	4580	77215
28	4750	77154
29	4892	76655
30	5019	75943
31	5186	75851
32	5338	75552
33	5505	75450
34	5667	75297
35	5833	75189
36	5972	74736
37	6114	74339
38	6276	74196
39	6415	73778
40	6598	73874
41	6670	72738
42	6825	72536
43	6976	72304
44	7094	71735
45	7218	71245
46	7372	71055
47	7541	71016
48	7708	70952
49	7863	70772
50	8064	70998
51	8210	70739
52	8383	70709
53	8535	70496
54	8744	70754
55	8914	70679
56	9069	70485
57	9254	70524
58	9402	70280
59	9546	70006
60	9656	69497
61	9820	69376
62	9982	69244
63	10127	68990
64	10294	68896
65	10441	68662
66	10621	68640
67	10778	68473
68	10933	68296
69	11141	68439
70	11312	68355
71	11476	68220
72	11634	68056
73	11779	67810
74	11924	67572
75	12078	67384
76	12219	67126
77	12366	66907
78	12513	66687
79	12696	66659
80	12857	66507
81	12969	66112
82	13129	65966
83	13315	65945
84	13465	65743
85	13605	65495
86	13761	65329
87	13924	65193
88	14078	65015
89	14259	64959
90	14426	64838
91	14605	64773
92	14743	64521
93	14918	64434
94	15061	64210
95	15208	64004
96	15340	63735
97	15465	63438
98	15599	63185
99	15750	63002
100	15939	62970
101	16097	62813
102	16249	62631
103	16399	62445
104	16554	62276
105	16708	62106
106	16876	61986
107	17006	61726
108	17163	61569
109	17342	61486
110	17522	61406
111	17676	61237
112	17876	61222
113	18055	61134
114	18222	61005
115	18359	60775
116	18520	60625
117	18700	60539
118	18854	60365
119	18998	60161
120	19086	59784
121	19271	59710
122	19428	59548
123	19583	59380
124	19754	59264
125	19908	59092
126	20085	58991
127	20269	58907
128	20440	58786
129	20599	58629
130	20741	58423
131	20867	58176
132	21048	58080
133	21230	57986
134	21365	57765
135	21538	57647
136	21689	57469
137	21816	57227
138	21990	57113
139	22114	56866
140	22234	56610
141	22379	56421
142	22526	56238
143	22683	56078
144	22824	55880
145	22954	55656
146	23097	55465
147	23258	55318
148	23409	55146
149	23548	54946
150	23719	54822
151	23862	54633
152	24041	54525
153	24203	54378
154	24364	54231
155	24514	54058
156	24597	53738
157	24758	53591
158	24931	53469
159	25085	53305
160	25276	53222
