airport_id,city,state
01A,Afognak Lake,AK
03A,Granite Mountain,AK
04A,Lik,AK
05A,Little Squaw,AK
05K,Port Alsworth,AK
06A,Kizhuyak,AK
07A,Klawock,AK
08A,Elizabeth Island,AK
09A,Homer,AK
1AK,Mertarvik,AK
1B1,Hudson,NY
1CA,Rio Vista,CA
1CT,Somers,CT
1FL,Titusville,FL
1G4,Peach Springs,AZ
1GA,Hampton,GA
1N7,Blairstown,NJ
1NC,Roanoke Rapids,NC
1NJ,Andover,NJ
1NY,Penn Yan,NY
1OH,Willoughby,OH
1PA,Connellsville,PA
1TN,Lexington Parsons,TN
1TX,Dumas,TX
1VA,Warrenton,VA
1WA,Deer Park,WA
2AK,Deerpark,AK
2CA,Delano,CA
2FL,West Palm Beach,FL
2GA,Camilla,GA
2NC,Asheboro,NC
2NJ,Williamstown,NJ
2NY,Port Washington,NY
2OH,Coshocton,OH
2PA,Philadelphia,PA
2TN,Dayton,TN
2TX,Brenham,TX
2VA,Williamsburg,VA
2WA,Tacoma,WA
2WK,Odessa,WA
3AK,Tintina,AK
3CA,Garberville,CA
3FL,Wauchula,FL
3GA,Blakely,GA
3NC,Hendersonville,NC
3NJ,Camden,NJ
3NY,Suffolk,NY
3PA,Conshohocken,PA
3TN,Elizabethon,TN
3TX,Lancaster,TX
3VA,West Point,VA
4AK,North Pole,AK
4CA,Davis,CA
4CL,El Mirage,CA
4FL,Quincy,FL
4GA,Atlanta,GA
4NC,Andrews,NC
4NJ,Pomona,NJ
4NY,Millbrook,NY
4PA,Bensalem,PA
4PN,Eagles Mere,PA
4TX,Lajitas,TX
5AK,Lawing,AK
5CA,Palmdale,CA
5FL,Apalachicola,FL
5GA,Calhoun,GA
5NJ,Newark,NJ
5NY,Malone,NY
5PA,Allentown,PA
5TX,Edinburg,TX
6AK,Newtok,AK
6B0,Middlebury,VT
6CA,Little River,CA
6FL,Arcadia,FL
6GA,Cornelia,GA
6NJ,Atlantic City,NJ
6NY,New York,NY
6PA,Chambersburg,PA
6TX,Leakey,TX
7AK,Akun,AK
7CA,Lincoln,CA
7FL,West Palm Beach,FL
7NJ,East Rutherford,NJ
7NY,New York,NY
7TX,Graford,TX
81W,Lopez Island,WA
8AK,Nuiqsut,AK
8F3,Crosbyton,TX
8FL,Keystone Heights,FL
8NJ,Kearny,NJ
8NY,New York,NY
8TX,Waco,TX
9AK,Palmer,AK
9NY,Shelter Island,NY
9TX,Center,TX
A01,Fairbanks/Ft. Wainwright,AK
A02,Deadmans Bay,AK
A03,Hallo Bay,AK
A04,Red Lake,AK
A05,Shell Lake,AK
A06,Kougarok,AK
A07,Selawik,AK
A08,Pillar Bay,AK
A09,Johnstone Point,AK
A11,Bell Creek,AK
A12,Cinnabar,AK
A13,Mountaintop Mine,AK
A14,Whitebear,AK
A15,Puviaq,AK
A16,Arley Lake,AK
A17,Port Vita,AK
A18,Kantishna,AK
A1K,Deadhorse1,AK
A1L,Cullman,AL
A20,Alpine,AK
A21,Serpentine,AK
A22,Driftwood Bay,AK
A23,Bradley Lake,AK
A24,Chilkat Lake,AK
A25,Nugget Creek,AK
A26,Ivotuk,AK
A27,Pogo Mines,AK
A28,Ayakulik River,AK
A29,Kiluda Bay,AK
A2K,Bartletts,AK
A2L,Fort Payne,AL
A30,Terror Lake,AK
A31,Selief Bay,AK
A34,Laura Lake,AK
A35,Kaktovik,AK
A36,Deep Bay,AK
A37,Kako,AK
A38,Molly Creek,AK
A39,Ptarmigan Lake,AK
A3K,Smith Bay,AK
A40,Cape Simpson,AK
A41,Kogru River,AK
A42,Teshepkuk Lake,AK
A43,Kodiak Island,AK
A45,Lake Florence,AK
A46,Lake Hasselborg,AK
A47,Distin Lake,AK
A48,Port Hobron,AK
A49,Mooseville Airstrip,AK
A4K,Dune Lake,AK
A50,Big Bay,AK
A51,Wien Lake,AK
A52,Silver Salmon Creek,AK
A53,Blear Lake,AK
A54,Cannery Bay,AK
A56,Bear Lake,AK
A57,International Seafoods,AK
A58,Cosna River,AK
A59,Ivatuk,AK
A5K,Paxson,AK
A61,Cape Sarichef,AK
A62,Taylor Mountain Mine,AK
A63,Yukon Charley Rivvers,AK
A65,Karluk Portage,AK
A66,Hope,AK
A67,Viekoda Bay,AK
A69,Cold Bay,AK
A6K,Fairbanks1,AK
A70,Village Islands,AK
A71,Homer,AK
A72,Chinitna Bay,AK
A73,McKinley Park,AK
A74,Nanwalek,AK
A75,Malina Bay,AK
A76,Red Fox Bay,AK
A77,Shearwater,AK
A78,Cape Simpson,AK
A79,Cape Simpson,AK
A7K,Nakochna,AK
A80,Cape Simpson,AK
A81,Aglaq,AK
A82,Nikiski,AK
A83,Petrof Point,AK
A84,Denali,AK
A85,Big River,AK
A87,Carry Inlet,AK
A89,Montague Island,AK
A8K,Granite Point,AK
A90,Shannon Pond,AK
A91,Omalik Lagoon,AK
A92,Omolik Lagoon,AK
A93,Bradley Lake Project,AK
A94,Barrow,AK
A95,Barrow,AK
A96,Barrow,AK
A97,Akulik,AK
A98,Deadfall,AK
A99,Eagle Creek,AK
A9K,Healy,AK
AA1,Bethel,AK
AA2,Naknek-1,AK
AA4,Kachemak Bay,AK
AA5,Selby Lake,AK
AA7,Independence Creek,AK
AA8,Deadhorse,AK
AA9,Napaimute,AK
AAF,Apalachicola,FL
ABE,Allentown/Bethlehem/Easton,PA
ABI,Abilene,TX
ABL,Ambler,AK
ABQ,Albuquerque,NM
ABR,Aberdeen,SD
ABY,Albany,GA
ACB,Bellaire,MI
ACK,Nantucket,MA
ACT,Waco,TX
ACV,Arcata/Eureka,CA
ACY,Atlantic City,NJ
ADK,Adak Island,AK
ADM,Ardmore,OK
ADQ,Kodiak,AK
ADS,Dallas,TX
ADT,Ada,OK
ADW,Camp Springs,MD
AED,Aleneva,AK
AET,Allakaket,AK
AEX,Alexandria,LA
AFF,Colorado Springs,CO
AFK,Nebraska,NE
AFM,Ambler,AK
AFO,Afton,WY
AFP,Wadesboro,NC
AFW,Dallas/Fort Worth,TX
AGC,Pittsburgh,PA
AGN,Angoon,AK
AGS,Augusta,GA
AHD,Ardmore,OK
AHN,Athens,GA
AHT,Amchitka Island,AK
AIA,Alliance,NE
AIB,Anita Bay,AK
AID,Anderson,IN
AIK,Aiken,SC
AIN,Wainwright,AK
AIO,Atlantic,IA
AIY,Atlantic City,NJ
AIZ,Lake of the Ozarks,MO
AK1,Seward Peninsula,AK
AK2,Bear Fish Camp,AK
AK3,Fairbanks,AK
AK4,Squaw Lake,AK
AK5,Qugruc,AK
AK6,Gold King 2,AK
AK7,Rampart,AK
AK8,Zips,AK
AK9,Tolstoi Bay,AK
AKB,Atka,AK
AKC,Akron,OH
AKI,Akiak,AK
AKK,Akhiok,AK
AKN,King Salmon,AK
AKO,Akron,CO
AKP,Anaktuvuk Pass,AK
AL1,Albertville,AL
AL2,Alabaster,AL
AL3,Huntsville,AL
AL4,Andalusia/Opp,AL
AL5,Demopolis,AL
AL6,Fairhope,AL
AL7,Jasper,AL
AL8,Scottsboro,AL
AL9,Sylacauga,AL
ALB,Albany,NY
ALE,Alpine,TX
