Code,Description
01A,"Afognak Lake, AK: Afognak Lake Airport"
03A,"Granite Mountain, AK: Bear Creek Mining Strip"
04A,"Lik, AK: Lik Mining Camp"
05A,"Little Squaw, AK: Little Squaw Airport"
05K,"Port Alsworth, AK: Wilder Runway"
06A,"Kizhuyak, AK: Kizhuyak Bay"
07A,"Klawock, AK: Klawock Seaplane Base"
08A,"Elizabeth Island, AK: Elizabeth Island Airport"
09A,"Homer, AK: Augustin Island"
1AK,"Mertarvik, AK: Mertarvik Quarry Road Landing Strip"
1B1,"Hudson, NY: Columbia County"
1CA,"Rio Vista, CA: Rio Vista Municipal"
1CT,"Somers, CT: Valley Farm"
1FL,"Titusville, FL: Space Florida Launch Landing Facility"
1G4,"Peach Springs, AZ: Grand Canyon West"
1GA,"Hampton, GA: Atlanta Speedway"
1N7,"Blairstown, NJ: Blairstown Airport"
1NC,"Roanoke Rapids, NC: Halifax Northampton Regional"
1NJ,"Andover, NJ: Aeroflex Andover"
1NY,"Penn Yan, NY: Penn Yan Yates County"
1OH,"Willoughby, OH: Lake County Executive"
1PA,"Connellsville, PA: Joseph A Hardy Connellsville"
1TN,"Lexington Parsons, TN: Beech River Regional"
1TX,"Dumas, TX: Moore County"
1VA,"Warrenton, VA: Warrenton Fauquier"
1WA,"Deer Park, WA: Deer Park Airport"
2AK,"Deerpark, AK: Deer Park"
2CA,"Delano, CA: Delano Municipal"
2FL,"West Palm Beach, FL: North Palm Beach County Gen Aviation"
2GA,"Camilla, GA: Camilla Mitchell County"
2NC,"Asheboro, NC: Asheboro Regional"
2NJ,"Williamstown, NJ: Southern Cross"
2NY,"Port Washington, NY: Sands Point Seaplane Base"
2OH,"Coshocton, OH: Richard Downing"
2PA,"Philadelphia, PA: Heliport 76er"
2TN,"Dayton, TN: Mark Anton"
2TX,"Brenham, TX: Brenham Municipal"
2VA,"Williamsburg, VA: Camp Peary Landing Strip"
2WA,"Tacoma, WA: Tacoma Seaplane Base"
2WK,"Odessa, WA: Odessa Municipal"
3AK,"Tintina, AK: Gold Mining Landing Strip"
3CA,"Garberville, CA: Garberville Airport"
3FL,"Wauchula, FL: Wauchula Municipal"
3GA,"Blakely, GA: Early County"
3NC,"Hendersonville, NC: Hendersonville Airport"
3NJ,"Camden, NJ: 76ers Camden Heliport"
3NY,"Suffolk, NY: Sebonac"
3PA,"Conshohocken, PA: Conshohocken Heliport"
3TN,"Elizabethon, TN: Elizabethton Municipal"
3TX,"Lancaster, TX: Lancaster Regional"
3VA,"West Point, VA: Middle Peninsula Regional"
4AK,"North Pole, AK: Bradley Sky Ranch"
4CA,"Davis, CA: University"
4CL,"El Mirage, CA: El Mirage Field Adelanto"
4FL,"Quincy, FL: Quincy Municipal"
4GA,"Atlanta, GA: Paulding Memorial Hospital Heliport"
4NC,"Andrews, NC: Western Carolina Regional"
4NJ,"Pomona, NJ: Pomona Airport"
4NY,"Millbrook, NY: Johnson Landing Strip"
4PA,"Bensalem, PA: Total Rf Heliport"
4PN,"Eagles Mere, PA: Merritt Field"
4TX,"Lajitas, TX: Lajitas International"
5AK,"Lawing, AK: Lawing Airport"
5CA,"Palmdale, CA: Gray Butte Field"
5FL,"Apalachicola, FL: St George Island"
5GA,"Calhoun, GA: Tom B David Field"
5NJ,"Newark, NJ: Prudential Center Heliport"
5NY,"Malone, NY: Malone Dufort"
5PA,"Allentown, PA: Allentown Queen City Municipal"
5TX,"Edinburg, TX: South Texas International at Edinburg"
6AK,"Newtok, AK: Newtok Seaplane Base"
6B0,"Middlebury, VT: Middlebury State"
6CA,"Little River, CA: Little River Airport"
6FL,"Arcadia, FL: Arcadia Municipal"
6GA,"Cornelia, GA: Habersham County"
